  5.300 0.322428E-01 0.528782E-02 0.591978E-01 0.286981E-03 0.503078E-03 0.708843E-04
  5.400 0.317772E-01 0.521146E-02 0.583429E-01 0.283749E-03 0.497412E-03 0.700860E-04
  5.500 0.313174E-01 0.513606E-02 0.574988E-01 0.280548E-03 0.491800E-03 0.692952E-04
  5.600 0.308636E-01 0.506163E-02 0.566656E-01 0.277377E-03 0.486242E-03 0.685121E-04
  5.700 0.304158E-01 0.498819E-02 0.558434E-01 0.274239E-03 0.480740E-03 0.677370E-04
  5.800 0.299741E-01 0.491576E-02 0.550325E-01 0.271133E-03 0.475296E-03 0.669698E-04
  5.900 0.295386E-01 0.484433E-02 0.542329E-01 0.268061E-03 0.469910E-03 0.662110E-04
  6.000 0.291093E-01 0.477392E-02 0.534446E-01 0.265022E-03 0.464584E-03 0.654605E-04
  6.100 0.286862E-01 0.470454E-02 0.526678E-01 0.262018E-03 0.459318E-03 0.647185E-04
  6.200 0.282694E-01 0.463618E-02 0.519026E-01 0.259049E-03 0.454113E-03 0.639851E-04
  6.300 0.278588E-01 0.456885E-02 0.511488E-01 0.256115E-03 0.448970E-03 0.632604E-04
  6.400 0.274545E-01 0.450254E-02 0.504065E-01 0.253217E-03 0.443889E-03 0.625445E-04
  6.500 0.270565E-01 0.443727E-02 0.496758E-01 0.250354E-03 0.438870E-03 0.618374E-04
  6.600 0.266648E-01 0.437302E-02 0.489565E-01 0.247527E-03 0.433915E-03 0.611391E-04
  6.700 0.262792E-01 0.430979E-02 0.482486E-01 0.244736E-03 0.429022E-03 0.604498E-04
  6.800 0.258999E-01 0.424758E-02 0.475521E-01 0.241981E-03 0.424192E-03 0.597692E-04
  6.900 0.255267E-01 0.418637E-02 0.468670E-01 0.239262E-03 0.419426E-03 0.590976E-04
  7.000 0.251596E-01 0.412617E-02 0.461930E-01 0.236578E-03 0.414722E-03 0.584349E-04
  7.100 0.247986E-01 0.406696E-02 0.455302E-01 0.233931E-03 0.410081E-03 0.577810E-04
  7.200 0.244435E-01 0.400874E-02 0.448783E-01 0.231319E-03 0.405503E-03 0.571359E-04
  7.300 0.240945E-01 0.395150E-02 0.442375E-01 0.228743E-03 0.400987E-03 0.564996E-04
  7.400 0.237513E-01 0.389521E-02 0.436074E-01 0.226203E-03 0.396534E-03 0.558721E-04
  7.500 0.234140E-01 0.383989E-02 0.429880E-01 0.223697E-03 0.392141E-03 0.552532E-04
  7.600 0.230824E-01 0.378551E-02 0.423792E-01 0.221227E-03 0.387810E-03 0.546430E-04
  7.700 0.227565E-01 0.373206E-02 0.417809E-01 0.218791E-03 0.383540E-03 0.540413E-04
