 0.005  0.005
 0.007  0.007
 0.010  0.010
 0.013  0.013
 0.019  0.019
 0.026  0.026
 0.037  0.037
 0.051  0.051
 0.071  0.071
 0.099  0.099
 0.138  0.138
 0.193  0.193
 0.268  0.268
 0.374  0.374
 0.522  0.522
 0.728  0.728
 1.015  1.015
 1.415  1.415
 1.973  1.973
 2.751  2.751
 3.836  3.836
